id;code;name;created_by;created_at;modified_by;modified_at
1;aggregate;capacitor Customizable generate;Salad Monaco;2020-01-31;salmon Unbranded Fresh Towels;2020-01-31
2;ubiquitous User-centric Persistent;pink programming Checking Account;Designer Global;2020-01-30;Libyan Dinar Berkshire;2020-01-31
3;value-added;scale Dynamic;Cambridgeshire parsing;2020-01-31;Unbranded override;2020-01-31
4;Outdoors real-time Corporate;deposit Seychelles Rupee matrix;reboot;2020-01-31;Plastic Nicaragua;2020-01-31
5;primary innovative;Automotive;wireless Electronics;2020-01-31;mobile;2020-01-31
6;Wooden Computers Auto Loan Account;Strategist Mobility;multi-byte;2020-01-31;leverage;2020-01-31
7;Liaison;Strategist;Future array withdrawal;2020-01-31;Practical Credit Card Account cross-media;2020-01-30
8;capacitor Buckinghamshire yellow;empower 1080p Devolved;Lodge;2020-01-31;back-end;2020-01-31
9;alliance Refined Fresh Cheese;hacking;Managed envisioneer;2020-01-31;copy;2020-01-31
10;Georgia best-of-breed Chair;Director;content brand Barbados Dollar;2020-01-31;Buckinghamshire Jewelery;2020-01-31
