id;code;name;created_by;created_at;modified_by;modified_at
1;content backing up Usability;Division;Berkshire virtual;2020-01-30;Somali Shilling integrate actuating;2020-01-31
2;optimize Personal Loan Account;interactive;even-keeled Tasty Norway;2020-01-31;Bahamian Dollar overriding Savings Account;2020-01-31
3;even-keeled intuitive clear-thinking;Music Direct;back up cutting-edge Cotton;2020-01-31;recontextualize;2020-01-30
4;deposit Gorgeous Kids;Small quantifying compress;Sharable;2020-01-30;Soap maximized transmitter;2020-01-31
5;Rustic Rubber Computer;cross-platform Small;IB focus group;2020-01-31;Granite digital Tuna;2020-01-30
6;microchip PCI robust;bandwidth;Mayotte;2020-01-31;Connecticut efficient;2020-01-31
7;implement Vision-oriented engineer;neutral;Synchronised Sleek;2020-01-31;New York Solomon Islands;2020-01-31
8;Poland Grocery Ergonomic;Internal deliverables IB;SDR connect Director;2020-01-30;reintermediate;2020-01-31
9;recontextualize info-mediaries;Technician;Guatemala;2020-01-30;Steel primary;2020-01-31
10;context-sensitive;Wooden;Designer Fantastic interface;2020-01-31;Architect Customer;2020-01-31
