id;code;name;created_by;created_at;modified_by;modified_at
1;salmon;COM;Object-based Salad;2020-01-31;multimedia;2020-01-31
2;Checking Account Buckinghamshire;Fresh Awesome;multi-byte;2020-01-31;monitor overriding;2020-01-31
3;Cambridgeshire Auto Loan Account;conglomeration;benchmark parse;2020-01-31;Awesome Fresh Chicken Streamlined even-keeled;2020-01-30
4;withdrawal;Adaptive;Kwanza;2020-01-31;payment intuitive;2020-01-30
5;transmitting Factors Tactics;International;Multi-layered;2020-01-30;bluetooth clear-thinking;2020-01-31
6;6th generation bluetooth Mississippi;solid state;hack;2020-01-30;Flat;2020-01-30
7;Wooden Soft Pants;Automotive transmitting bleeding-edge;Frozen SDD maroon;2020-01-30;Generic Soft Chips;2020-01-31
8;Bacon JSON software;haptic;Avon digital;2020-01-31;Virgin Islands, U.S. back up;2020-01-30
9;navigate mesh withdrawal;bluetooth;fresh-thinking Awesome Wooden Soap Iran;2020-01-30;Money Market Account Auto Loan Account zero defect;2020-01-31
10;Wooden Facilitator Home;deposit migration;Forward Re-contextualized;2020-01-31;portal Nicaragua Implementation;2020-01-31
